PMID,Title,Abstract,ISSN,Journal,Location,Year,FirstAuthorForename,FirstAuthorLastname,FirstAuthorInitials,FirstAuthorAffiliation,Relevant
22164496,[Longitudinal investigation on intestinal parasite infections among rural people in West Dongting Lake region].,"The nylon pocket concentration method and modified Kato-Katz technique were used to detect the eggs of intestinal parasites and the iodine smear method was used for the detection of protozoa among the rural population in West Dongting Lake region. The infection rate of parasites in 2006 was 11.84%, and it declined by 86.63%, 81.34%, and 47.28%, respectively, compared to the rates in 1983, 1993, and 2003. Six major parasites were detected including Ascaris lumbricoides, Trichuris trichiura, Fasciolopsis buski, hookworm, Entamoeba histolytica and Giardia lamblia, and their infection rates were 8.60%, 6.41%, 1.75%, 0.14%, 2.50%, and 1.22%, respectively. The rate of multiple infections was 22.98%. The infection rates in the 5-9 years age group and 10-14 years age group were higher than those in other age groups.",1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,"(23) 295, 306",2011,Guo-Hong,Hou,GH,"Maternal and Child Health Hospital of Changde City, Hunan Province, Changde 415000, China.",False
22164499,[Effect of latent asymptomatic toxoplasmosis on glucose metabolism in brain of mice].,To explore the effect of latent asymptomatic Toxoplasma gondii infection on glucose metabolism in brain of mice.,1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(23) 307-10,2011,Yong-Hua,Zhou,YH,"Jiangsu Institute of Parasitic Diseases, Key Laboratory on Technology for Parasitic Disease Prevention and Control, Wuxi 214064, China.",False
22164498,[Effects of excreted/secreted antigens of Toxoplasma gondii on CD4+ CD25+ Foxp3+ T cells and NK cells of melanoma-bearing mice].,"To explore the effects of excreted/secreted antigens (ESA) of Toxoplasma gondii on CD4+CD25+ Foxp3+ T cells and NK cells of melanoma-bearing mice, as well as the tumor growth.",1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(23) 301-6,2011,Yu-Meng,Jiao,YM,"Department of Pathogenic Biology, Nanjing Medical University, Nanjing 210029, China.",False
22164497,[Sensitivity of Anopheles sinensis to insecticides in Jiangsu Province].,"To understand the sensitivity of Anopheles sinensis to deltamethrin, DDT and malathion in Jiangsu province.",1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(23) 296-300,2011,Ju-Lin,Li,JL,"Jiangsu Institute of Parasitic Diseases, Wuxi 214064, China.",False
22164512,[Psychological obstacles and personalities of cerebral cysticercosis patients: a report of 86 cases].,"The purpose of this paper was to investigate the psychological obstacles and personalities of 86 patients with cerebral cysticercosis, so as to perform necessary nursing for the patients and improve the nursing techniques.",1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(23) 345-6,2011,Ying-Xin,Hu,YX,"Shandong Institute of Parasitic Diseases, Shandong Provincial Center for Cysticercosis Treatment, Jining 272000, China.",False
22164611,[Serological investigation on Toxoplasma gondii infection in dialysis patients with renal insufficiency].,"A total of 205 dialysis patients with renal insufficiency were selected as an experiment group, and 360 healthy people were selected as a control group. The specific IgG antibodies of Toxoplasma gondii of the objects in the 2 groups were detected by ELISA. The positive rates of the experiment and control groups were 27. 3% and 3. 6% ,respectively, with a significant difference between them (P < 0.05). Among the dialysis patients with renal insufficiency, the positive rates of the patients with or without a history of blood transfusion were 31.2% and 19.2% , respectively, and there was a significant difference between them (P < 0.05). In conclusion, the infection rate of T. gondii in dialysis patients with renal insufficiency is higher than that of common people, and dialysis and/or blood transfusion may be potential risk(s) for Toxoplasma gondii infection.",1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,"(23) 144, 153",2011,De-Sheng,Tong,DS,"Jiangsu Institute of Parasitic Diseases, Wuxi 214064, China.",False
22164609,[Study on preservation of niclosamide in water samples].,To investigate the preservation condition of niclosamide in water samples and establish a high performance liquid chromatography (HPLC) method by solid-phase extraction (SPE) which is used for determination and preservation of niclosamide in water samples.,1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(23) 133-7,2011,Yun-Tian,Xing,YT,"Jiangsu Institute of Parasitic Diseases, Key Laboratory on Technology for Parasitic Disease Prevention and Control, Ministry of Health, Center for Pesticide Effect Evaluation, Wuxi, China.",False
22164621,[Population genetics of Pomacea spp. in mainland of China].,To reveal the population structure of Pomacea spp. using genetic markers so as to provide the evidence for studying the invasion and expansion of it in the mainland of China.,1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(23) 178-82,2011,Shan,Lv,S,"National Institute of Parasitic Diseases, Chinese Center for Disease Control and Prevention, WHO Collaborating Center for Malaria, Schistosomiasis and Filariasis, Shanghai 200025, China.",False
22164623,[Investigation of different pregnant results of pregnant women infected with toxoplasma gondii in Nanjing region].,To explore the influence of Toxoplasma gondii infection on pregnant results during different pregnancies of women.,1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(23) 183-6,2011,Wei,Xia,W,"Nanjing Municipal Center for Disease Control and Prevention, Nanjing 210003, China.",False
22164624,[Development of multiplex microbead immunoassay for detection of specific antibodies against Cryptosporidium parvum].,"To develop a multiplex microbead immunoassay for detection of specific antibodies against Cryptosporidium parvum using recombinant proteins CP23, SA35 and SA40.",1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(23) 187-91,2011,Min,Hou,M,"Department of Pathogenic Biology, Nanjing Medical University, Nanjing 210029, China.",False
22164626,[Cloning and expression of echinococcus granulosus Eg18 and preliminary evaluation of immunological assay with recombinant antigen].,To clone and express Echinococcus granulosus Eg18 gene and evaluate the immunoreactivity of the recombinant protein.,1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(23) 192-6,2011,Yong-Shun,Wang,YS,"Qinghai Institute of Endemic Diseases Prevention and Control, Xining 811602, China.",False
22164629,[Efficacy of tribendimdine in treatment of hookworm infection].,To study the efficacy of tribendimdine in the treatment of hookworm infection.,1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(23) 202-3,2011,Li-Guang,Tian,LG,"National Institute of Parasitic Diseases, Chinese Center for Disease Control and Prevention, WHO Collaborating Center for Malaria, Schistosomiasis and Filariasis, Key Laboratory of Parasite and Vector Biology, Ministry of Health,Shanghai 200025, China.",False
22164632,"[Process for lymphatic filariasis elimination in Jiangsu Province, China].","To review the process of lymphatic filariasis elimination in Jiangsu Province, and summarize the control experience.",1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(23) 207-10,2011,Xiang-Zhen,Xu,XZ,"Jiangsu Institute of Parasitic Diseases, Wuxi 214064, China.",False
22164633,[Evaluation of artificial digestion method on inspection of meat for Trichinella spiralis contamination and influence of the method on muscle larvae recovery].,To evaluate the effect of artificial digestion method on inspection of meat for Trichinella spiralis contamination and its influence on activity and infectivity of muscle larvae.,1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(23) 211-3,2011,Guo-Ying,Wang,GY,"Immunology Institute of Medical College, Henan University, Kaifeng 475004, China.",False
22164636,[Application of spatial statistical analysis methods and related analytic softwares in research of infectious diseases].,"This paper summarizes the application of several spatial statistical analysis methods, and their related softwares in the research of infectious diseases, in order to improve the prevention and control of infectious diseases.",1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(23) 217-20,2011,Jun,Feng,J,"National Institute of Parasitic Diseases, Chinese Center for Disease Control and Prevention, Shanghai 200025, China.",False
22164637,[Purification of Clonorchis sinensis native protein and their application in immunodiagnosis of clonorchiasis].,"Lots of purified antigens have been obtained from crude antigens of Clonorchis sinensis. Some of them have applied to immunodiagnosis of clonorchiasis in laboratory. Here, we review purification methods, diagnostic efficacy and application prospect of purified antigens.",1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(23) 221-4,2011,Wen-Cai,Jiang,WC,"Jiangsu Institute of Parasitic Diseases, Key Laboratory on Technology for Parasitic Disease Prevention and Control, Ministry of Health, Jiangsu Provincial Key Laboratory on Molecular Biology of Parasites, Jiangsu Provincial Key Subject on Parasitic Diseases, Wuxi 214064, China.",False
22164638,[One case of acute kidney injury caused by praziquantel].,This paper reported one case of acute kidney injury caused by praziquantel.,1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(23) 228,2011,Zhi-Wu,Chai,ZW,"Qianjiang Institute for Schistosomiasis Control and Prevention, Hubei Province, Qianjiang 433100, China.",False
22164839,[Opportunities and challenges of malaria elimination in China].,"The malaria elimination program of China launched in July 2010, and planned to eliminate malaria by 2020. Most of people were optimistic, meanwhile, some of others doubted on that. This paper introduces both the opportunities and challenges of malaria elimination in China at present, and indicates that it is advantageous timing to conduct malaria elimination program in China now, but the goal of elimination only can be reached if we could timely change the concept, seize those opportunities and deal with those challenges, as well as accelerate the technique innovation and breakthrough by scientific research.",1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(23) 347-9,2011,Gao,Qi,G,"Jiangsu Institute of Parasitic Diseases, Wuxi 214064, China.",False
22164841,"[Surveillance of intestinal helminthiasis in Rudong County, 2001-2009].","The infection rate of intestinal helminthes in Rudong County in 2001-2009 decreased from 4.32% to 0.87%, which presented a downtrend.",1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,"(23) 357, 376",2011,Ping,Miao,P,"Rudong Center for Disease Control and Prevention, Jiangsu Province, Rudong 226400, China.",False
22164851,[Epidemiological analysis of malaria situation in Jiangsu Province in 2009].,"To analyze the prevalent characteristics of malaria in Jiangsu Province in 2009, so as to provide the reference for making effective measures of malaria control.",1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(23) 402-5,2011,Hua-Yun,Zhou,HY,"Jiangsu Institute of Parasitic Diseases, Wuxi 214064, China.",False
22164858,"[Changes of alveolar macrophage phagocytosis and TNF-alpha, IL-6 of rats with Pneumocystis pneumonia].",To observe the changes of alveolar macrophage (AM) phagocytosis and the levels of TNF-alpha and IL-6 in AM supernatants and bronchoalveolar lavage fluid (BALF) of rats with Pneumocystis pneumonia (PCP).,1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(23) 428-30,2011,Zhi-Min,Lu,ZM,"Department of Parasitology, Hebei North University, Zhangjiakou 075000, China.",False
22164867,"[Survey on malaria vectors in Jiangsu Province, 2005-2009].","To understand the species, density and seasonal variation of malaria vectors in Jiangsu Province, so as to provide scientific evidence for malaria control.",1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(23) 453-6,2011,Wei-Ming,Wang,WM,"Jiangsu Institute of Parasitic Diseases, Wuxi 214064, China.",False
22164871,[Molecular diagnosis of toxoplasmosis].,"This paper reviews the domestic and foreign literatures regarding molecular diagnosis of toxoplasmosis. The nucleic acid molecule hybridization and Toxoplasma gondii gene sequences for polymerase chain reaction (PCR), common and conventional PCR, nested PCR, real-time quantitative PCR, immune PCR, in-situ PCR, loop-mediated isothermal amplification technology are introduced.",1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,"(23) 465-7, 469",2011,Li-Jie,Shen,LJ,"Institute of Pathogens and Vectors, Dali University, Dali 671000, China.",False
22263488,[Spreading experience of demonstration plots and strengthening control of parasitic diseases].,"This paper summarizes the achievements and experiences of demonstration plots carrying out comprehensive control measures of parasite diseases in China, and elaborates the hard task of the control of parasitic diseases as one of main public health problems. The article also elaborates the significance of spreading the experiences of demonstration plots carrying out comprehensive control measures of parasite diseases for improving the health of people and promoting the construction of new countryside.",1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(23) 471-2,2011,Wang,Yu,W,"Chinese Center for Disease Control and Prevention, Beijing 102206, China.",False
22263489,[Status and future focus of the national control program on parasitic diseases].,The achievements and challenges in the national control program on parasitic diseases in PR China were presented after trend analysis of the national and international control activities and programs. The future focus on research and control of parasitic diseases in PR China was put forward in order to achieve the long-term goal of eliminating the parasitic diseases as public health problem in the country.,1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(23) 473-5,2011,Zhou,Xiao-Nong,Z,"National Institute of Parasitic Diseases, Chinese Center for Disease Control and Prevention, Shanghai 200025, China.",False
22263490,[Effect of control on infections of soil-transmitted helminthes in demonstration plots of China for 3 years].,To explore the control strategies so as to provide the demonstration for controlling the infection of soil-transmitted helminthes (STH).,1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(23) 476-82,2011,Zhang,Qian,Z,"Office for Disease Control and Emergency Response, Chinese Center for Disease Control and Prevention, Beijing 102206, China.",False
22263491,[Establishment and application of ascariasis transmission mathematical models in China].,To establish ascariasis transmission mathematical models and apply them to predict field status.,1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(23) 483-9,2011,Wang,Jun,W,"National Institute of Parasitic Diseases, Chinese Center for Disease Control and Prevention, Shanghai 200025, China.",False
22263492,[Prevention and treatment of ascariasis in demonstration plots of integrated control from 2006 to 2009].,To understand the situation of Ascaris lumbricoides infection in the demonstration plots and evaluate the effect of integrated intervention measures.,1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(23) 490-4,2011,Zhu,Ting-Jun,Z,"National Institute of Parasitic Diseases, Chinese Centre for Disease Control and Prevention, Shanghai 200025, China.",False
22263493,"[Experiences of comprehensive control of parasitic diseases in demonstration plot of Xiangyun County, Yunnan Province].","We established and perfected the system of control work, achieved the expected targets, and explored the advisable pattern for prevention and control on soil-transmitted nematode diseases. To perform the prevention and control on soil-transmitted nematodiasis, there should be the guidance of government, the multi-sectoral cooperation, community participation, paying attention to the organization and management, and highlighting the key points including education and deworming.",1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,"(23) 494, 500",2011,Wang,Li-Bo,W,"Yunnan Institute of Parasitic Diseases, Puer 665000, China.",False
22263494,[Analysis of influencing factors of Trichuris trichiura infection in demonstration plots of comprehensive control of parasitic diseases].,To understand the main risk factors of Trichuris trichiura infection in plots carrying out the integrated control of parasitic diseases.,1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(23) 495-500,2011,Wang,Guo-Fei,W,"National Institute of Parasitic Diseases, Chinese Center for Disease Control and Prevention, Shanghai 200025, China.",False
22263495,[Cost-effectiveness analysis of integrated control strategy of parasitic diseases in demonstration plots].,To study the cost-effectiveness of different deworming schemes in demonstration plots of integrated control of parasitic diseases.,1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(23) 501-5,2011,Chen,Ying-Dan,C,"National Institute of Parasitic Diseases, Chinese Center for Diseases Control and Prevention, Shanghai 200025, China.",False
22263497,[Application and evaluation on five health education patterns of integrated control for parasitic diseases].,To explore the strategy of health education in demonstration plots for controlling the infections of soil-transmitted helminthes (STH) and Clonorchis sinensis.,1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(23) 510-4,2011,Zhang,Qian,Z,"Office for Disease Control and Emergency Response, Chinese Center for Disease Control and Prevention, Beijing 102206, China.",False
22263498,[Effect of comprehensive control in demonstration plots of parasitic diseases in Guizhou Province].,To evaluate the effect of comprehensive control in demonstration plots of parasitic diseases in Guizhou Province.,1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(23) 515-7,2011,Zhu,Ai-Ya,Z,"Guizhou Provincial Center for Disease Control and Prevention, Guiyang 550004, China.",False
22263500,[Hookworm disease induced upper gastrointestinal bleeding: a case report].,"This paper reports a case of hookworm disease induced upper gastrointestinal bleeding which was misdiagnosed at the beginning, and analyzes the cause of misdiagnosis, so as to enhance our understanding of the epidemiology and clinical manifestations of hookworm infection, thus improve our ability on the diagnosis and treatment of hookworm infection.",1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,"(23) 523, 528",2011,Huang,Min-Jun,H,"Beijing Tropical Medicine Research Institute, Capital Medical University, Beijing 100050, China.",False
22263499,[Evaluation on effectiveness of comprehensive control model for soil-transmitted nematodiasis].,To evaluate the effect of a comprehensive control model for soil-transmitted nematodiasis.,1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(23) 518-23,2011,Tian,Hong-Chun,T,"Sichuan Provincial Center for Disease Control and Prevention, Chengdu 610041, China.",False
22263501,[Evaluation on intervention measures of comprehensive control for parasitic diseases in demonstration plot of Xiangyun County].,"To evaluate the effect of comprehensive intervention measures to control and prevent parasitic diseases in the demonstration plot of Xiangyun County, so as to provide the evidence for establishing appropriate measures of parasitic diseases control and prevention.",1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(23) 524-8,2011,Li,Wen-Juan,L,"Xiangyun County Center for Diseases Control and Prevention, Dali Prefecture, Yunnan Province, Xiangyun 672110, China. XYJKLWJ@126.com",False
22263505,[Hookworm infection post-rectal cancer surgery: one case report].,"A patient with hookworm infection post-rectal cancer surgery was detected. After the helminthic and iron-supplement treatment, the patient' s condition improved.",1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(23) 545,2011,Tong,De-Sheng,T,"Jiangsu Institute of Parasitic Diseases, Wuxi 214064, China.",False
22263509,[Histopathological dynamic observation on mice infected by experimental Sparganum mansoni].,To observe dynamically the histopathological changes of mice infected with Sparganum mansoni.,1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(23) 555-7,2011,Tang,Gui-Wen,T,"The Second People's Hospital of Guiyang City, Guiyang 550002, China.",False
22263510,[Preliminary study on detection of Echinococcus granulosus DNA by loop-mediated isothermal amplification].,To evaluate the sensitivity of loop-mediated isothermal amplification (LAMP) on the detection of Echinococcus granulosus.,1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,"(23) 558-60, 565",2011,Xu,Xiang-Zhen,X,"Jiangsu Institute of Parasitic Diseases, Wuxi 214064, China.",False
22263511,[Organization and management in demonstration plots carrying out integrated control measures for parasitic diseases].,To summarize the organization and management work and its characteristics in demonstration plots carrying out integrated control measures for parasitic diseases.,1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(23) 561-2,2011,Zheng,Can-Jun,Z,"Chinese Center for Disease Control and Prevention, Beijing 102206, China.",False
22263512,[Effect of comprehensive control on parasitic diseases in demonstration plot of Hainan Province].,"To evaluate the effect of control on soil-transmitted nematode infections in the demonstration plot of integrated control on parasitic diseases, Hainan Province.",1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(23) 563-5,2011,Hu,Xi-Min,H,"Hainan Provincial Center for Disease Control and Prevention, Haikou 570203, China.",False
22263514,"[Effect of comprehensive control in demonstration plot of clonorchiasis in Yangshan County, 2006-2009].",To evaluate the effect of comprehensive control of clonorchiasis in demonstration plot in Yangshan County so as to popularize it.,1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,"(23) 569-70, 574",2011,Huang,Xin-Hua,H,"Yangshan County Center for Disease Control and Prevention, Guangdong Province, Yangshan 513100, China.",False
22263515,[Impact of different temperatures on development of Anopheles anthropoghagus in Jiangsu Province].,"To observe the development and breeding of Anopheles anthropophagus in Jiangsu Province under different temperatures, so as to provide theoretical evidence for malaria epidemiology research and vector control.",1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(23) 571-4,2011,Wang,Wei-Ming,W,"Jiangsu Institute of Parasitic Diseases, Wuxi 214064, China.",False
22263518,[Effects of two antigens for IgM detection of toxoplasmosis].,To observe the effects of recombinant Toxoplasma gondii P30 antigen and soluble antigen for IgM detection of toxoplasmosis.,1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(23) 582-4,2011,Wang,Ya-Ping,W,"Wuxi Second People's Hospital, Jiangsu Province, Wuxi 214002, China.",False
22263519,[Overview of global epidemiology and control of soil-transmitted helminth infections].,"This paper summarizes the global situation of epidemiology and control of soil-transmitted helminth infections, in order to improve our understanding of the current status of soil-transmitted helminth infections, thus increasing human health and welfare.",1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(23) 585-9,2011,Sun,Lan,S,"Beijing Tropical Medicine Research Institute, Capital Medical University, Beijing 100050, China.",False
22263520,[Development of immunological antigen for detecting Toxoplasma gondii infection].,"The detection of toxoplasmosis has been focused on immunological antigen of Toxoplasma gondii. With the advance of molecular biotechnology, the component and recombiantent antigen, which gradually instead of initial crude antigen, has dominated for detecting Toxoplasma gondii. This paper reviews the status and development of Toxoplasma gondii diagnostic antigen.",1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(23) 590-4,2011,Lu,Zhi-Min,L,"Department ofParasitology, Hebei North University, Zhangjiakou 075000, China.",False
22263521,[Effects of health education on integrated control of soil-transmitted nematodes].,"After health education was carried out during the integrated control of parasitic diseases in Tongcheng City, Anhui Province, the awareness rate of health knowledge of villagers raised from 30.53% (68/210)to 99.49% (197/198), and their pass rate of health behavior increased from 36.67% (77/210) to 100% (198/198). Moreover, the total infection rate of soil-transmitted nematodes decreased from 31.76% (794/2 500) to 1.90% (19/1000). Health education is an important measure and content in controlling soil-transmitted nematodes.",1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,"(23) 595, 597",2011,Xu,Hui,X,"Station for Schistosomiasis Control of Tongcheng city, Anhui Province, Tongcheng 231400, China.",False
22263522,[Hepatic echinococcosis complicated with biliary fistula and obstructive jaundice: one case report].,This paper reports the diagnosis and therapy of one case of hepatic echinococcosis complicated with biliary fistula and obstructive jaundice.,1005-6661,Zhongguo xue xi chong bing fang zhi za zhi = Chinese journal of schistosomiasis control,(23) 596-7,2011,Liu,Yi-Xin,L,"Jiangsu Institute of Parasitic Diseases, Wuxi 214064, China.",False
